mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
DHTKD1,hsa-mir-3934,0.355980908,0.003351703,0.042771607,-0.548163179,0.004555412,0.08484495,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.34374559324367615,0.6519982682156453
SPDYE1,hsa-mir-378c,0.315086251,0.009970156,0.093402363,-0.622686609,0.000886343,0.033468055,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.1928012837174364,0.5342158381327985
ATP1B1,hsa-mir-592,0.491077757,2.83E-05,0.000865584,-0.587649895,0.00200887,0.053629918,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7626440272916555,2.0579267405545716
TYW1,hsa-mir-326,-0.343764188,0.004712281,0.054992271,0.589668211,0.001921162,0.0522695,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.5908886421495596,0.3932757190292905
ABCG4,hsa-mir-98,0.501696698,1.78E-05,0.000575528,-0.59946658,0.001540388,0.04606413,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.7456720661441543,0.5447142534963656
WDFY2,hsa-mir-135b,0.486290766,3.48E-05,0.00103319,-0.574509802,0.00266795,0.063085076,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.3348903799530925,0.04543366406213001
TTBK1,hsa-mir-652,0.391803412,0.001140595,0.01873116,-0.619550122,0.000957455,0.035032445,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.1864389966456003,0.7755690610464597
TOLLIP,hsa-mir-222,0.322875381,0.008189436,0.081539193,-0.547780456,0.004589509,0.08518915,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.6381150481014506,10.829865778156416
TIMELESS,hsa-mir-708,0.412581827,0.000576349,0.010868072,-0.560508331,0.003564565,0.074028641,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.0677039831845936,0.5563497455768013
MME,hsa-mir-132,0.823514985,0,0,-0.558992464,0.0036754,0.075343044,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.20588538598618217,0.42532602610907083
CCDC77,hsa-mir-484,0.399129937,0.000901105,0.015564692,-0.532925206,0.006090043,0.099226968,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.179176342867256,0.906644944768702
ZNF776,hsa-mir-145,-0.387051393,0.001325213,0.021066003,0.64458951,0.00050497,0.023791272,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1534745252885585,0.24093897791939958
MET,hsa-mir-335,-0.320045638,0.008801293,0.085740501,0.564268118,0.003301823,0.070891442,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,3.2055494697081284,0.28764613941973094
SNX30,hsa-mir-345,-0.330656991,0.006694428,0.07068404,0.58830608,0.001979987,0.053222235,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.104210646837627,0.5437834076383681
HIATL1,hsa-mir-500a,-0.348431579,0.004143586,0.050075187,0.557233823,0.003807631,0.076840353,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9439092903937024,0.6670667639650659
PVR,hsa-mir-185,-0.349112163,0.004065954,0.049378688,0.798346627,1.73E-06,0.000550327,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.131918345396913,3.0471704904029338
ADH6,hsa-mir-203,0.41713146,0.000493393,0.009587657,-0.742104296,2.17E-05,0.003090243,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.28339919734388724,0.4947712619017015
C1orf115,hsa-mir-3653,-0.326872909,0.007388517,0.075807405,0.58811612,0.001988312,0.053338068,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.186614695256038,2.037072901854772
PSD4,hsa-mir-513c,0.412749594,0.000573078,0.010818837,-0.533342292,0.006042899,0.098799034,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7887951182903509,0.18370257807115717
C11orf45,hsa-mir-211,0.388245147,0.001276464,0.020461879,-0.587895707,0.001998008,0.053460588,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.2642437376061806,4.6457015780375635
