mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
LPL,hsa-mir-487a,0.58234749,4.78E-06,0.000322482,-0.77186542,0.005383303,0.097016746,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.44639698315017945,4.885161194501278
PPM1A,hsa-mir-382,0.604205634,1.66E-06,0.000130445,-0.897829846,0.000175633,0.029523887,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.884010715805275,3.472132278915061
RUNDC2A,hsa-mir-106b,0.407450192,0.002460664,0.051455728,-0.799815769,0.003122479,0.080873222,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7671126397793858,5.875647904035055
SDC2,hsa-mir-590,0.416099508,0.001942655,0.043095369,-0.789091315,0.003883936,0.086969713,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.30454714262757854,9.351804524180261
TUBE1,hsa-mir-382,0.41402329,0.002057235,0.044994584,-0.841556154,0.001162276,0.05827124,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7617798593358176,3.472132278915061
SBNO1,hsa-mir-382,0.376807181,0.005417498,0.091230692,-0.782556793,0.004410524,0.090770952,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.283916557837224,3.472132278915061
NDUFA6,hsa-mir-590,0.427227455,0.001420039,0.033997596,-0.802047893,0.002979094,0.079706706,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.146311268345688,9.351804524180261
CHUK,hsa-mir-382,0.399726847,0.003023226,0.059893319,-0.770784477,0.005489751,0.09763157,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.223576200718161,3.472132278915061
RNF180,hsa-mir-487a,0.438495058,0.001022681,0.026457329,-0.789377134,0.003862021,0.086801531,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.16436190859782546,4.885161194501278
AKT3,hsa-mir-382,0.506427157,0.000109249,0.004471677,-0.858571264,0.000715311,0.049330598,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.2641181714809008,3.472132278915061
NOL4,hsa-mir-382,0.946210331,0,0,-0.871027051,0.000481365,0.042884585,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.420960355235822,3.472132278915061
DDX24,hsa-mir-382,0.72738011,6.88E-10,1.17E-07,-0.833630717,0.001430391,0.062465104,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7072628800095949,3.472132278915061
EML5,hsa-mir-487a,0.859038694,2.22E-16,9.43E-14,-0.805293126,0.00277943,0.077861162,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8853376428629576,4.885161194501278
KCNA6,hsa-mir-382,0.38922363,0.003969689,0.073015459,-0.842412022,0.001135768,0.057781735,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.892953962503552,3.472132278915061
ZFPM2,hsa-mir-106b,0.56080068,1.26E-05,0.000735818,-0.816239273,0.002178698,0.071775853,targetprofiler-Yes,targetscan-NO,miRanda-Yes,0.1628652417710031,5.875647904035055
C14orf45,hsa-mir-382,0.591397397,3.12E-06,0.000223399,-0.896373056,0.000186781,0.030226847,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7065234076489885,3.472132278915061
AKD1,hsa-mir-382,0.372527233,0.006014159,0.098165598,-0.842669339,0.001127887,0.057645118,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9413208665871885,3.472132278915061
ME2,hsa-mir-487a,0.545783098,2.37E-05,0.001260585,-0.781885904,0.004467422,0.091152036,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0204738711561683,4.885161194501278
TMEFF1,hsa-mir-199b,0.706715541,3.35E-09,5.05E-07,-0.810168554,0.002498393,0.075208626,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4704549483817364,2.536794547710018
KATNAL1,hsa-mir-382,0.37594176,0.00553378,0.092605708,-0.775290107,0.005056066,0.094998262,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.3009412327439071,3.472132278915061
ESYT2,hsa-mir-382,0.797287171,9.08E-13,2.46E-10,-0.947109151,9.76E-06,0.008227099,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6915849362964472,3.472132278915061
PHIP,hsa-mir-382,0.602896661,1.78E-06,0.000137975,-0.864227639,0.000600392,0.046392361,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1318535242474088,3.472132278915061
SMAD9,hsa-mir-382,0.991514943,0,0,-0.8402382,0.001204003,0.058979311,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5894347745170212,3.472132278915061
VPS13B,hsa-mir-3653,0.393116107,0.003592193,0.067908886,-0.903445298,0.000137327,0.02676672,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8961258392114896,7.456095851404333
TMEM51,hsa-mir-132,-0.372219337,0.006059215,0.098678344,0.775711148,0.005016872,0.094738618,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,1.3380546871739019,1.3431645292887737
HINT3,hsa-mir-590,0.436401131,0.001087934,0.027748572,-0.826483628,0.001709678,0.066290156,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6132115914117564,9.351804524180261
PPP2R5C,hsa-mir-382,0.416407228,0.001926165,0.042822852,-0.924228245,4.76E-05,0.017065573,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7565553619005716,3.472132278915061
SPATA21,hsa-mir-382,0.619837923,7.45E-07,6.47E-05,-0.783690824,0.004315567,0.090101933,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.0230675393409123,3.472132278915061
BACE1,hsa-mir-199b,0.641418469,2.28E-07,2.29E-05,-0.776066691,0.004983949,0.094555526,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7013193991219535,2.536794547710018
PDHA1,hsa-mir-221,0.390188064,0.00387304,0.071717003,-0.779623892,0.004663261,0.092480148,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1113634948786462,2.2774778051866083
MDM1,hsa-mir-487a,0.513721246,8.35E-05,0.003590573,-0.774219817,0.005156714,0.095637538,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.617160255954985,4.885161194501278
RUFY3,hsa-mir-382,0.878985043,0,0,-0.822689994,0.001873521,0.06830842,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.8740835035221054,3.472132278915061
SPOPL,hsa-mir-584,0.381041143,0.004878911,0.084668975,-0.791767869,0.003682275,0.085406647,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.971007714266538,11.355696538593309
KLC1,hsa-mir-382,0.644133511,1.95E-07,1.99E-05,-0.824753639,0.001783005,0.067222649,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7627467113731611,3.472132278915061
RRM2B,hsa-mir-3653,0.401851758,0.002858102,0.057471133,-0.798617769,0.003201515,0.081547381,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.5361615825745476,7.456095851404333
MLH3,hsa-mir-487a,0.436345745,0.00108971,0.027783065,-0.775794993,0.005009094,0.094697259,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.09315058950179,4.885161194501278
