mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
ANK3,hsa-mir-203,0.264404216,4.04E-09,2.12E-07,-0.684037834,3.07E-07,7.31E-05,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5239146047227787,0.8036784341685153
NR3C1,hsa-mir-221,0.131174127,0.003991467,0.023944088,-0.436151915,0.003080593,0.05675524,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.1075193093687645,1.3899224559511223
FAM92A1,hsa-mir-17,0.332899623,6.93E-14,1.11E-11,-0.449694984,0.002195015,0.045701533,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.31097605837828,1.656091280496897
NGLY1,hsa-mir-22,-0.141177428,0.001931817,0.013575583,0.622676649,6.38E-06,0.000755533,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7226619735953401,0.9458165039109742
RAB3B,hsa-mir-1247,-0.112295694,0.01382995,0.061759242,0.425985359,0.003938158,0.066119174,targetprofiler-NO,targetscan-Yes,miRanda-NO,12.110783625276902,0.42574829828134547
N4BP1,hsa-mir-27b,-0.15689651,0.000560887,0.005057619,0.457493125,0.001794486,0.040128438,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.190152628113267,0.6387395768402246
SKA2,hsa-mir-203,-0.151538434,0.000866476,0.007172748,0.619497608,7.34E-06,0.000836079,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7417607469155956,0.8036784341685153
PAQR8,hsa-mir-203,-0.223086258,7.93E-07,2.09E-05,0.521304388,0.000285121,0.011663999,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4083687886585758,0.8036784341685153
RDH14,hsa-mir-17,0.242910269,7.09E-08,2.60E-06,-0.407631684,0.006023654,0.085872989,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.043939652628067,1.656091280496897
KREMEN1,hsa-mir-320a,0.121963869,0.007470258,0.03874152,-0.401343715,0.006931235,0.093544235,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.8444372597107791,1.8836250922830218
PPP1R9B,hsa-mir-3934,-0.175227523,0.000113885,0.001380264,0.531432936,0.000205703,0.009327173,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3590929058255334,2.619507771936915
SETD5,hsa-mir-25,0.134406063,0.003173544,0.020044872,-0.582955779,3.29E-05,0.002536887,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.9978184076342135,1.8292872712418002
UBAP2L,hsa-mir-335,0.111242559,0.014751657,0.064862204,-0.422399794,0.00428693,0.069686635,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.1673040124924872,1.3793193401258736
