mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
VGLL3,hsa-mir-1251,0.189654953,0.001150408,0.011311745,-0.71056512,5.20E-06,0.000806994,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.23880671688972596,0.20895455259041573
LRRK2,hsa-mir-376c,-0.248457399,1.81E-05,0.000431673,0.478126482,0.00564349,0.065208394,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.06126779105454,0.2359186466974029
ENOX2,hsa-mir-10a,0.194334876,0.000860191,0.009065301,-0.489743949,0.004440439,0.056376376,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.2599383387367804,0.7719093833096139
IDE,hsa-mir-203,0.249114026,1.71E-05,0.000413517,-0.443124442,0.011084658,0.097899038,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8387979718979756,0.5891323741828147
TARDBP,hsa-mir-3690,-0.138650521,0.017959091,0.085708917,0.484113063,0.004992722,0.060527572,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0439479865863601,4.51124299607419
ADAMTS9,hsa-mir-377,-0.163281913,0.00523585,0.035193719,0.497006184,0.003806291,0.051408076,targetprofiler-Yes,targetscan-Yes,miRanda-NO,2.0762268961247425,0.20352633505329337
KPTN,hsa-mir-378,0.270072178,2.95E-06,9.70E-05,-0.52921352,0.001843199,0.033048756,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8986872145165806,0.6700115691289259
GOT1,hsa-mir-433,0.153244008,0.008834897,0.051619564,-0.459591583,0.008137752,0.081320291,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.777596825795464,0.27095952072771945
CLIC6,hsa-mir-452,-0.229548924,7.75E-05,0.001393469,0.539298098,0.001447056,0.028430442,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.974961753598992,1.2561564961607434
PLD1,hsa-mir-500a,0.153892219,0.008548872,0.050395409,-0.620778325,0.000150148,0.006897769,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8334076261816913,0.5898136713786983
DAPK1,hsa-mir-891a,0.178466472,0.002244049,0.018775043,-0.627262134,0.000121974,0.00604326,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.058904338252892,1.189601069398422
JPH2,hsa-mir-10b,-0.138871101,0.017775475,0.085083607,0.468465708,0.006846541,0.073267277,targetprofiler-Yes,targetscan-NO,miRanda-Yes,2.2621915802566672,0.21078198620708435
INSIG2,hsa-mir-651,-0.185589031,0.001472984,0.013668849,0.484589226,0.004943844,0.060161938,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.9706223185597975,1.9455992676832998
CDRT4,hsa-mir-581,-0.162213989,0.005543208,0.036690305,0.546367634,0.001215773,0.02553666,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.0229788862197315,1.2272717352039286
ACSL4,hsa-mir-23a,-0.149690028,0.010559403,0.058704437,0.447585424,0.010209195,0.093206085,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5081093713002152,1.6485380929607507
TMEM98,hsa-mir-151,-0.244739338,2.43E-05,0.0005489,0.50640002,0.003102893,0.045404073,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.051780053793039,1.2041876363230581
POU6F1,hsa-mir-224,-0.171160199,0.003402195,0.025583499,0.450225506,0.009719132,0.090490397,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9663472707487091,2.3969138611261496
C20orf108,hsa-mir-192,-0.166546788,0.004388881,0.030874633,0.53493454,0.001608252,0.030360751,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0960371456555926,0.5885574189741671
BCL2L1,hsa-mir-1266,0.16322395,0.005252131,0.03527495,-0.485084989,0.004893391,0.059769272,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.6248400164054395,1.7902833206739064
RAB21,hsa-mir-34b,0.171099493,0.003413753,0.025643846,-0.534643881,0.001619525,0.030499964,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0888458562450234,3.4150307164854916
ST3GAL2,hsa-mir-378,0.23122386,6.85E-05,0.001262429,-0.502677487,0.003366878,0.047704776,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8338287292092408,0.6700115691289259
IYD,hsa-mir-589,0.230844073,7.04E-05,0.001291113,-0.568138065,0.000693763,0.017982059,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.16410150216352457,2.3749655378420624
VPS26B,hsa-mir-192,0.161804298,0.005665355,0.037288346,-0.692985798,1.10E-05,0.001311041,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9144763728736571,0.5885574189741671
KANK2,hsa-mir-200b,-0.152850293,0.009012748,0.052359439,0.601522306,0.000271106,0.010031712,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7047348561373814,1.046052309471908
ANKRD40,hsa-mir-378,-0.174769314,0.002775513,0.022002969,0.521736448,0.002194973,0.03677914,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0970294952687123,0.6700115691289259
PDE10A,hsa-mir-182,0.18212683,0.001810911,0.015970562,-0.727837821,2.35E-06,0.000484778,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.3590075948116035,3.973306939288973
WHSC1,hsa-mir-589,-0.146984119,0.012065719,0.064594701,0.630239681,0.000110699,0.005669288,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.3421712952260045,2.3749655378420624
GPR180,hsa-mir-2276,0.256727123,9.20E-06,0.000248304,-0.568457011,0.000687886,0.017883253,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1617200864711557,1.0324819335044115
IYD,hsa-mir-676,-0.136168973,0.020141405,0.092876781,0.469129658,0.00675739,0.072712531,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.16410150216352457,0.7830018654530534
WDR93,hsa-mir-452,-0.23962295,3.62E-05,0.00075714,0.514770213,0.002573808,0.040508415,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.058736100895083,1.2561564961607434
PHF8,hsa-mir-370,0.187522234,0.001310478,0.012503253,-0.575877773,0.000562965,0.015832725,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7323559555050011,0.3909126671636507
FREM2,hsa-mir-216a,-0.143000937,0.014627477,0.074089357,0.754473919,6.11E-07,0.00019777,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6806953834200624,0.14419651127580435
GSR,hsa-mir-186,0.164624315,0.004871263,0.033369712,-0.467680152,0.006953314,0.073988002,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8011277223264626,1.263387462120842
HMGB3,hsa-mir-452,-0.225933614,0.000101099,0.001720071,0.697060431,9.31E-06,0.001175616,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.9298706991614965,1.2561564961607434
NLGN2,hsa-mir-150,-0.168483101,0.003946988,0.028552923,0.553417105,0.001018047,0.022917141,targetprofiler-Yes,targetscan-Yes,miRanda-NO,2.304966666230776,1.1791802389322017
CHP2,hsa-mir-1266,0.254691402,1.09E-05,0.000285339,-0.539439777,0.001442068,0.028376351,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.037922852126950436,1.7902833206739064
UBE2QL1,hsa-mir-31,-0.139168867,0.017530204,0.084291406,0.501991467,0.003417587,0.048128555,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.10710179467895548,5.3020946961317605
SLC31A1,hsa-let-7i,0.138807389,0.017828341,0.08526197,-0.466042284,0.007180501,0.075395702,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.5722558175378826,1.5103644470115336
FZD4,hsa-mir-32,-0.17948456,0.002114961,0.017954656,0.492824073,0.004161186,0.054205609,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9953259916181447,0.8039792271882484
BIRC5,hsa-mir-877,0.201454524,0.000545666,0.006410131,-0.480649938,0.005360837,0.06320743,targetprofiler-NO,targetscan-Yes,miRanda-NO,11.805463136851628,1.119907646282115
TTLL2,hsa-let-7i,-0.183417102,0.001677458,0.015073203,0.465580813,0.00724564,0.075838259,targetprofiler-NO,targetscan-NO,miRanda-Yes,6.207873100653367,1.5103644470115336
RGS13,hsa-mir-376c,-0.134424789,0.021809802,0.09818407,0.514216476,0.002606217,0.040848896,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.9486490529000458,0.2359186466974029
GRIK5,hsa-mir-17,-0.184768406,0.001547392,0.014184397,0.744932697,1.01E-06,0.000275333,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.29313518846719055,1.608467635400364
SACS,hsa-mir-377,-0.139187339,0.017515086,0.084235941,0.529138865,0.001846452,0.033085649,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.2532870777398415,0.20352633505329337
NOV,hsa-mir-25,-0.182506196,0.001770699,0.015696756,0.534838275,0.001611978,0.030409243,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4541943248044475,1.963619291312491
WDR37,hsa-mir-203,0.162757696,0.005384757,0.035918522,-0.478375163,0.00561508,0.06502921,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7758666083208968,0.5891323741828147
CD164,hsa-mir-500a,0.231605119,6.66E-05,0.001233608,-0.582872136,0.000464016,0.014036328,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6852218136787149,0.5898136713786983
RORA,hsa-mir-378,-0.201968285,0.000527715,0.006245664,0.724830443,2.71E-06,0.000532832,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8176932154919256,0.6700115691289259
KIAA1024,hsa-mir-618,-0.139383187,0.0173555,0.083703851,0.488701569,0.004538522,0.057116186,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7650160344040706,1.963970231722617
CBX2,hsa-mir-598,0.203359262,0.000481827,0.00582034,-0.550921837,0.001084542,0.023835471,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6612528884467467,1.0501068049771847
PAICS,hsa-mir-589,-0.136248929,0.020067653,0.092638369,0.448163849,0.010100078,0.092604289,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8196585624469327,2.3749655378420624
SLC26A4,hsa-mir-10a,0.146733807,0.012214201,0.06516489,-0.572449023,0.000617948,0.016756242,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.02317782625502545,0.7719093833096139
TCF19,hsa-mir-653,0.149183301,0.010828127,0.059758738,-0.485742036,0.004827206,0.059272298,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1585946456846403,0.6637066050261717
DCBLD1,hsa-mir-98,0.272990511,2.28E-06,7.85E-05,-0.453621878,0.009118058,0.087100638,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.8304380052286013,0.9194360185464017
MMP15,hsa-mir-323,-0.200225885,0.000590912,0.006807249,0.582940444,0.000463131,0.01401781,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.497704124923221,0.13736458849527639
TAB3,hsa-mir-203,0.210519962,0.000298783,0.004027902,-0.508347502,0.00297206,0.044181847,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8371424170813845,0.5891323741828147
CAPN10,hsa-mir-1295,-0.138499566,0.0180857,0.086147009,0.589181567,0.000388295,0.012538498,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3649354139859975,3.3846760343086046
BMF,hsa-mir-183,-0.141912145,0.015405945,0.07687101,0.596686039,0.000312636,0.010971959,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.7595205579551894,3.807766899396524
DNAJC16,hsa-mir-224,0.162064759,0.005587424,0.036904246,-0.635306396,9.36E-05,0.00509954,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.5167192077106667,2.3969138611261496
DDC,hsa-mir-581,0.162506155,0.00545755,0.036268037,-0.58238644,0.000470353,0.014156637,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.21508996040433823,1.2272717352039286
LRRC19,hsa-mir-217,-0.149567882,0.010623633,0.058947415,0.570383254,0.000653314,0.017323697,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5569339522646308,0.1406996985026888
ANP32E,hsa-mir-1305,-0.175687225,0.00263384,0.021163125,0.510198984,0.002852129,0.043072954,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7538079600713231,6.400676822126003
AGPAT4,hsa-mir-20b,-0.194178136,0.000868701,0.009133484,0.789433679,7.87E-08,4.94E-05,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.1909880807207007,0.7035155853774
TRIM7,hsa-mir-151,0.251050846,1.47E-05,0.000363819,-0.565912932,0.000736013,0.01869298,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4058577391127152,1.2041876363230581
MSRB2,hsa-mir-31,0.179834472,0.002072183,0.017685683,-0.577716718,0.000535294,0.015343912,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7315343032407744,5.3020946961317605
SPNS2,hsa-mir-22,0.198996142,0.000639657,0.007236616,-0.463139718,0.007598646,0.078023317,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5317137095406299,0.9926095320516921
C21orf59,hsa-mir-581,-0.1714322,0.003350841,0.025296,0.459388254,0.008169605,0.081511352,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.4065441708316648,1.2272717352039286
LCORL,hsa-mir-203,0.197852357,0.000688309,0.007651599,-0.540288476,0.001412501,0.028015373,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7807634427301506,0.5891323741828147
CACNA1E,hsa-mir-1271,0.201590757,0.000540851,0.006365354,-0.543690325,0.001299241,0.026590571,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.34957433908595514,1.1896799016578063
FAM154B,hsa-mir-766,-0.205193928,0.000426953,0.005299934,0.493820345,0.004074157,0.053530427,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.555933918574918,0.9457296387626914
UGT1A6,hsa-mir-17,0.203260141,0.00048497,0.005850502,-0.69483249,1.02E-05,0.001247621,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.0803331207674214,1.608467635400364
SCIN,hsa-mir-20a,-0.210339412,0.000302464,0.00406691,0.485614777,0.004839964,0.059369409,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.971244250188431,1.640186496163599
AK1,hsa-mir-17,-0.168594838,0.00392276,0.028423844,0.490833667,0.004339855,0.055609906,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.5450920879290937,1.608467635400364
