mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
OTUD1,hsa-mir-181c,0.137902877,0.007899377,0.052034888,-0.416239472,0.002642345,0.069010959,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6282951648165002,1.0748168711024022
LAMP2,hsa-mir-148a,0.18752221,0.000286643,0.004026503,-0.571806521,1.44E-05,0.002483524,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.0317797841596927,0.7130165259184392
PTPRB,hsa-mir-151,-0.19835764,0.000122632,0.002027995,0.394594969,0.004572592,0.093637105,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5251785505072316,1.4549804689586543
HDGFRP3,hsa-mir-140,-0.139218696,0.007319768,0.049241575,0.454606166,0.000911294,0.037182777,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2997809029370064,1.4701072398454291
GPAA1,hsa-mir-98,0.140253541,0.006890944,0.04709654,-0.502463001,0.000200563,0.014683223,targetprofiler-NO,targetscan-NO,miRanda-Yes,2.8127079454775097,1.1025216015862815
MTMR11,hsa-mir-214,-0.125245645,0.015930934,0.086595008,0.62848636,1.02E-06,0.000370362,targetprofiler-Yes,targetscan-NO,miRanda-NO,4.369391950241316,0.424850103119177
SSTR2,hsa-mir-29a,-0.143925193,0.005544974,0.040022459,0.438410578,0.001449989,0.048813551,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1261447581627906,0.6140295249550826
APOBEC3H,hsa-mir-106b,-0.127570953,0.014064453,0.079216179,0.490131967,0.000302648,0.019044228,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.693514004776924,1.5859479770214346
FAM84B,hsa-mir-639,-0.133636877,0.010070182,0.062230196,0.40373485,0.003643189,0.082450033,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.3254627318930545,0.8386562169521219
NME4,hsa-let-7e,0.125652723,0.015589305,0.085263847,-0.420092004,0.0023875,0.065136559,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.017902144203059,1.2125517573287707
MPZL2,hsa-mir-130a,0.125009792,0.016131852,0.087358278,-0.40696664,0.003356855,0.078807343,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2265702885654324,0.43533605278798004
CHD3,hsa-mir-34a,-0.293011878,9.26E-09,6.22E-07,0.545151488,4.25E-05,0.005303781,targetprofiler-NO,targetscan-NO,miRanda-Yes,2.185841851002673,2.1684448097315863
USP7,hsa-mir-618,0.164150826,0.001533137,0.015065382,-0.438498393,0.00144643,0.048737513,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.022582137060921,1.4134131567303196
WRNIP1,hsa-mir-429,0.151119797,0.003571025,0.028772683,-0.468610481,0.000598543,0.028933528,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.3107476640816549,1.2372166528809192
ADCY3,hsa-mir-589,-0.148901564,0.004098171,0.031913333,0.473678024,0.000511798,0.0263424,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.3906070850896206,2.5769410825048498
AHSG,hsa-mir-382,0.137541918,0.008065373,0.05283799,-0.555012582,2.88E-05,0.004056432,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.5437589682511627,1.8855490952282894
PLD1,hsa-mir-1256,-0.128049418,0.013705173,0.077765224,0.482112535,0.000392258,0.022344117,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6168408180904045,1.0322621265245808
CPSF1,hsa-mir-98,0.148724544,0.004143128,0.032173787,-0.442613231,0.001288152,0.045550996,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.8773903011340678,1.1025216015862815
RASGRF1,hsa-mir-132,-0.128859116,0.013115537,0.0753537,0.446894856,0.001140064,0.042307766,targetprofiler-NO,targetscan-Yes,miRanda-NO,21.442287199551032,1.2226139331697319
DGKD,hsa-mir-421,0.191080422,0.000218,0.003235987,-0.497476217,0.000237318,0.016382587,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.6930884893220466,1.9658939400232798
MYOM2,hsa-mir-660,-0.161312051,0.001853158,0.017439317,0.414147513,0.002790574,0.071208662,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.24356205008674764,2.1092190180618506
TRIM62,hsa-mir-221,-0.123920721,0.017088647,0.091027911,0.638222127,6.16E-07,0.000254992,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.4937649253249565,2.478115464141084
IKBKE,hsa-mir-34a,-0.263042038,2.85E-07,1.24E-05,0.510274107,0.000153284,0.012307213,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.7284753771947217,2.1684448097315863
BET1,hsa-mir-548k,-0.125669129,0.015575673,0.085211065,0.472710253,0.000527431,0.026844932,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0413359872044166,1.220788075178452
SSU72,hsa-mir-186,0.215794927,2.84E-05,0.000610705,-0.413398266,0.002845424,0.07202341,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0029995134906866,1.0617326051794624
C19orf46,hsa-mir-98,0.184430318,0.000362165,0.004855741,-0.444924998,0.00120619,0.04376641,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.6878542706464192,1.1025216015862815
PCSK1N,hsa-mir-378,0.157152689,0.002433253,0.021480513,-0.427494557,0.001958217,0.058025545,targetprofiler-NO,targetscan-Yes,miRanda-NO,20.274880922249135,0.5723068748425597
LARGE,hsa-mir-889,0.122867583,0.018060663,0.094718016,-0.483853052,0.000370988,0.021579679,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.156341144576676,2.6770356239206774
SGSM2,hsa-mir-140,-0.164266021,0.001521292,0.014977655,0.405675709,0.00346876,0.080273207,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.6140098568513672,1.4701072398454291
GALNTL4,hsa-mir-34a,-0.173608434,0.000797604,0.0090652,0.400613509,0.00393993,0.086150571,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.8278429693812037,2.1684448097315863
SIKE1,hsa-mir-624,0.126551765,0.014857471,0.082386653,-0.426965003,0.001986474,0.058526088,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.8988052129243846,0.7232022253815432
C9orf7,hsa-mir-98,0.129640492,0.012567826,0.073062413,-0.445170807,0.001197755,0.043614247,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0344329229976157,1.1025216015862815
BCAP29,hsa-mir-151,-0.170650699,0.000982015,0.010666208,0.393797952,0.00466272,0.094620405,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0973442527353086,1.4549804689586543
KLF11,hsa-mir-376c,-0.127758839,0.013922394,0.078637987,0.448460455,0.001089842,0.041191528,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4540165724286037,0.7174759325448145
ABHD4,hsa-mir-1292,-0.126369508,0.015003346,0.082974066,0.407189495,0.003337863,0.078576386,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.8691721267547394,2.296170341432442
ADAMTS2,hsa-mir-452,-0.124535861,0.016542301,0.088941769,0.45782977,0.00082855,0.035064521,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.518639328486261,4.7614685934892576
PDGFRB,hsa-mir-186,-0.203530153,8.04E-05,0.00143659,0.398453527,0.004157521,0.088810596,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.3604906930050378,1.0617326051794624
FTO,hsa-mir-940,-0.132810467,0.010547207,0.064387943,0.453548214,0.000940022,0.037801113,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9291866139221016,1.5813281323372628
FEM1C,hsa-mir-496,-0.12455632,0.016524396,0.0888727,0.447563953,0.001118352,0.041818944,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.7576483294078961,2.6354787369753128
TEX261,hsa-mir-421,0.200044802,0.000106999,0.001814581,-0.439744197,0.001396771,0.047790531,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1214054205179245,1.9658939400232798
UGT1A9,hsa-mir-148b,-0.226759946,1.06E-05,0.000269158,0.468968977,0.000591997,0.028761072,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7507924710271505,1.2714068173798436
NAV1,hsa-mir-191,-0.141673495,0.006339137,0.044266492,0.574195699,1.30E-05,0.002312726,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7102985235346166,0.862502996806028
SLC2A4RG,hsa-mir-656,0.249627796,1.16E-06,4.13E-05,-0.466002434,0.000648163,0.030337802,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.074243434866779,1.5123234929030638
